Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Ethiopia	22151218	22671134	23221344	23798397	24396981	25013551	25641137	26280676	26945326	27653511	28414999	29246389	30135531	31029594	31856458	32569908	33145955	33615472	34054601	34570544	35241209	36094424	37110033	38259330	39493610	40777189	42100969	43477401	44916621	46435325	48042755	49743883	51525658	53357867	55199953	57023519	58815116	60584273	62353942	64158887	66024199	67956866	69948344	71989666	74066147	76167240	78290649	80440708	82621190	84838032	87095281	89393063	91728849	94100756
Finland	4429634	4461005	4491443	4523309	4548543	4563732	4580869	4605744	4626469	4623785	4606307	4612124	4639657	4666081	4690574	4711440	4725664	4738902	4752528	4764690	4779535	4799964	4826933	4855787	4881803	4902206	4918154	4932123	4946481	4964371	4986431	5013740	5041992	5066447	5088333	5107790	5124573	5139835	5153498	5165474	5176209	5188008	5200598	5213014	5228172	5246096	5266268	5288720	5313399	5338871	5363352	5388272	5413971	5439407
France	46647521	47293811	47990159	48697015	49361165	49945471	50430631	50829214	51175036	51518731	51895793	52320049	52776806	53239101	53666947	54033095	54328016	54565943	54772084	54982879	55224670	55505282	55816654	56149874	56489874	56825158	57155165	57482783	57803824	58113622	58409202	58557072	58849212	59105073	59325793	59540711	59752020	59963792	60185178	60495470	60911057	61355725	61803229	62242474	62702121	63176246	63617975	64012572	64371099	64702921	65023142	65343588	65676758	66028467
Germany	72814900	73377632	74025784	74714353	75318337	75963695	76600311	76951336	77294314	77909682	78169289	78312842	78688452	78936666	78967433	78673554	78336950	78159814	78091820	78126350	78288576	78407907	78333366	78128282	77858685	77684873	77720436	77839920	78144619	78751283	79433029	80013896	80624598	81156363	81438348	81678051	81914831	82034771	82047195	82100243	82211508	82349925	82488495	82534176	82516260	82469422	82376451	82266372	82110097	81902307	81776930	81797673	80425823	80621788
Greece	8331725	8398050	8448233	8479625	8510429	8550333	8613651	8684088	8740765	8772764	8792806	8831036	8888628	8929086	8962022	9046541	9188150	9308479	9429959	9548258	9642505	9729350	9789513	9846627	9895801	9934300	9967213	10000595	10036983	10089498	10156902	10256292	10369866	10465528	10553035	10634385	10709173	10776504	10834880	10882580	10917482	10951764	10983723	11018324	11055729	11092913	11127947	11163002	11186439	11187085	11153454	11123213	11092771	11032328
Guatemala	4140636	4253298	4369153	4488229	4610494	4735961	4864495	4996199	5131566	5271250	5415616	5565101	5719315	5876798	6035549	6194218	6352074	6509758	6668975	6832183	7001101	7176504	7357730	7543343	7731210	7919874	8108903	8299070	8491594	8688240	8890329	9098613	9312915	9532550	9756398	9983861	10214623	10449636	10691090	10941913	11204183	11478984	11765738	12062835	12367800	12678919	12995374	13317931	13648307	13988988	14341576	14706578	15082831	15468203
Haiti	3869288	3946666	4026076	4107392	4190472	4275135	4361648	4449858	4538688	4626727	4713134	4797534	4880740	4964593	5051633	5143815	5241510	5344538	5453582	5569289	5691941	5821974	5958870	6100718	6244898	6389424	6533556	6677487	6821300	6965413	7110116	7255042	7399862	7544982	7691001	7838241	7986858	8136372	8285690	8433339	8578234	8720247	8859635	8996229	9129933	9260879	9388642	9513714	9638255	9765153	9896400	10032864	10173775	10317461
Hungary	9983967	10029321	10061734	10087947	10119835	10147935	10178653	10216604	10255815	10298723	10337910	10367537	10398489	10432055	10478720	10540525	10598677	10648031	10684822	10704152	10711122	10711848	10705535	10689463	10668095	10648713	10630564	10612741	10596487	10481719	10373988	10373400	10369341	10357523	10343355	10328965	10311238	10290486	10266570	10237530	10210971	10187576	10158608	10129552	10107146	10087065	10071370	10055780	10038188	10022650	10000023	9971727	9920362	9897247
Indonesia	88692697	90860197	93101152	95420835	97828538	100329810	102924506	105605766	108364330	111187930	114066887	116996006	119974444	123002081	126080548	129210098	132385413	135601258	138857752	142156086	145494452	148872395	152280731	155698247	159097735	162458871	165772077	169039084	172265107	175460614	178633239	181786329	184916848	188019278	191085673	194112556	197097887	200050444	202990922	205946831	208938698	211970371	215038285	218145617	221293797	224480901	227709821	230972808	234243489	237486894	240676485	243801639	246864191	249865631
India	449595489	458626687	467962144	477615992	487607406	497952332	508656247	519722246	531160986	542983934	555199768	567805061	580798773	594192969	608002572	622232355	636883717	651935141	667339022	683032539	698965575	715105168	731443752	747986284	764749394	781736502	798941802	816328792	833833510	851374699	868890700	886348712	903749636	921107534	938452550	955804355	973147577	990460131	1007746556	1025014711	1042261758	1059500888	1076705723	1093786762	1110626108	1127143548	1143289350	1159095250	1174662334	1190138069	1205624648	1221156319	1236686732	1252139596
Iran	21958460	22535672	23130085	23742324	24373188	25023580	25696631	26393889	27113136	27850926	28606584	29381955	30184173	31024743	31918360	32877678	33901414	34992483	36171889	37465764	38889520	40440041	42100410	43852710	45672219	47531740	49440637	51377914	53250434	54938264	56361868	57472293	58307457	58982430	59663107	60468352	61440887	62542531	63713397	64858754	65911052	66857624	67727274	68543171	69342126	70152384	70976584	71809219	72660887	73542954	74462314	75424285	76424443	77447168
